,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
　政 府 別,自償,非自償,,自償,非自償,,,,,,,
　合　　計,"7,278_ ","4,357,569_ ","262,878_ ","481,809_ ","16,919_ ","204,416_ ","4,374,488_ ","152,228_ ",,,,
　中央政府,0_ ,"3,778,245_ ","131,816_ ","393,429_ ",0_ ,"198,112_ ","3,778,245_ ","134,471_ ",,,,
　地方政府,"7,278_ ","579,324_ ","131,062_ ","88,380_ ","16,919_ ","6,304_ ","596,243_ ","17,757_ ",,,,
　　臺北市,"1,600_ ","167,164_ ",0_ ,"6,592_ ",0_ ,"2,368_ ","167,164_ ","4,670_ ",,,,
　　高雄市,0_ ,"126,113_ ",0_ ,"12,615_ ","16,879_ ","2,478_ ","142,992_ ","2,409_ ",,,,
　　縣　市 (表1-1),"5,520_ ","279,832_ ","130,581_ ","66,935_ ",0_ ,"1,387_ ","279,832_ ","10,547_ ",,,,
　　鄉鎮市 (表1-2),158_ ,"6,215_ ",481_ ,"2,238_ ",40_ ,71_ ,"6,255_ ",131_ ,,,,
說明：,,,,,,,,,,,,
　　1.中央政府、直轄市及縣(市)政府為審定決算數，鄉(鎮、市)公所為決算數。,,,,,,,,,,,,
　　2.本表為各級政府為應公共事務支出所舉借之債務，包括公債、國庫券、國內外借款。普通基金包括總預算及特別預算。,,,,,,,,,,,,
"　　3.1年以上自償性債務總計488,929百萬元，係有特定財源用以償債，依公共債務法規定不計入債限。",,,,,,,,,,,,
"　　4.未滿1年之債務總計467,294百萬元，係為調節庫款收支所舉借之債務，其中普通基金262,878百萬元，受公共債務法債限管制。",,,,,,,,,,,,
　　5.因擔保、保證或契約可能造成未來會計年度支出：,,,,,,,,,,,,
"　　　(1)中央政府：中央政府：普通基金（交通部）325,880百萬元；非營業基金3,097百萬元。",,,,,,,,,,,,
"　　　(2)直轄市及縣(市)政府：共計58,560百萬元，分別為高雄市30,494百萬元、基隆市200百萬元、臺北縣26,782百萬元、桃園縣596百萬元、臺中縣102百萬",,,,,,,,,,,,
                 元、臺中市80百萬元、彰化縣7百萬元、嘉義縣27百萬元、臺南縣31百萬元、高雄縣22百萬元、屏東縣119百萬元及連江縣100百萬元。,,,,,,,,,,,,
表2-1.  縣(市)政府債務負擔表－債務比率,,,,,,,,,,,,
截至97年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,　　　　　　　　　單位：％　,,,,,,,,
政府別,   1年以上非自償債務餘額,,未滿1年債務餘額,,,,,,,,,
,占歲出比率,法定比率,占歲出比率,法定比率,,,,,,,,
合　計,34.27%,45.00%,19.65%,30.00%,,,,,,,,
臺北縣,34.23%,45.00%,23.00%,30.00%,,,,,,,,
桃園縣,41.94%,45.00%,26.43%,30.00%,,,,,,,,
宜蘭縣,39.60%,45.00%,23.13%,30.00%,,,,,,,,
新竹縣,44.52%,45.00%,21.61%,30.00%,,,,,,,,
苗栗縣,40.34%,45.00%,26.23%,30.00%,,,,,,,,
臺中縣,39.89%,45.00%,18.67%,30.00%,,,,,,,,
彰化縣,23.98%,45.00%,16.18%,30.00%,,,,,,,,
南投縣,34.80%,45.00%,19.50%,30.00%,,,,,,,,
雲林縣,38.39%,45.00%,22.82%,30.00%,,,,,,,,
嘉義縣,34.72%,45.00%,25.52%,30.00%,,,,,,,,
臺南縣,40.78%,45.00%,27.44%,30.00%,,,,,,,,
高雄縣,33.47%,45.00%,14.35%,30.00%,,,,,,,,
屏東縣,36.37%,45.00%,11.08%,30.00%,,,,,,,,
臺東縣,21.76%,45.00%,19.80%,30.00%,,,,,,,,
花蓮縣,36.41%,45.00%,24.60%,30.00%,,,,,,,,
澎湖縣,11.58%,45.00%,0.44%,30.00%,,,,,,,,
基隆市,42.86%,45.00%,10.84%,30.00%,,,,,,,,
新竹市,42.23%,45.00%,27.41%,30.00%,,,,,,,,
臺中市,10.46%,45.00%,5.35%,30.00%,,,,,,,,
嘉義市,20.44%,45.00%,7.18%,30.00%,,,,,,,,
臺南市,43.44%,45.00%,27.20%,30.00%,,,,,,,,
金門縣,0.00%,45.00%,0.00%,30.00%,,,,,,,,
連江縣,0.00%,45.00%,0.00%,30.00%,,,,,,,,
 ,,,,,,,,,,,,
表2-2.  鄉(鎮、市)公所債務負擔表－債務比率,,,,,,,,,,,,
截至97年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,　　　　　　　　　單位：％　　,,,,,,,,
政府別,   1年以上非自償債務餘額,,未滿1年債務餘額,,,,,,,,,
,占歲出比率,法定比率,占歲出比率,法定比率,,,,,,,,
合　計,3.50%,25.00%,0.35%,30.00%,,,,,,,,
臺北縣,2.64%,25.00%,0.00%,30.00%,,,,,,,,
桃園縣,1.67%,25.00%,1.80%,30.00%,,,,,,,,
宜蘭縣,0.89%,25.00%,0.00%,30.00%,,,,,,,,
新竹縣,0.52%,25.00%,0.00%,30.00%,,,,,,,,
苗栗縣,2.88%,25.00%,0.00%,30.00%,,,,,,,,
臺中縣,3.24%,25.00%,0.00%,30.00%,,,,,,,,
彰化縣,3.30%,25.00%,0.00%,30.00%,,,,,,,,
南投縣,5.39%,25.00%,0.00%,30.00%,,,,,,,,
雲林縣,1.12%,25.00%,0.00%,30.00%,,,,,,,,
嘉義縣,13.08%,25.00%,0.00%,30.00%,,,,,,,,
臺南縣,14.50%,25.00%,0.00%,30.00%,,,,,,,,
高雄縣,3.93%,25.00%,0.00%,30.00%,,,,,,,,
屏東縣,1.16%,25.00%,0.54%,30.00%,,,,,,,,
臺東縣,1.55%,25.00%,0.00%,30.00%,,,,,,,,
花蓮縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
澎湖縣,0.00%,25.00%,9.70%,30.00%,,,,,,,,
金門縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
連江縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
 ,,,,,,,,,,,,
表2.  各級政府債務負擔表－債務比率,,,,,,,,,,,,
截至97年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,單位：％　　,,,,,,
,   1年以上非自償債務餘額,,,,未滿1年債務餘額,,,,,,,
  政 府 別,占歲出比率,法定比率,占前3年度名目國民,,,,,,,,,
"生產毛額平均數比率""""",法定比率,占歲出比率,法定比率,,,,,,,,,
　合　　計,－,－,33.58%,48.00%,－,－,,,,,,
　中央政府,－,－,29.01%,40.00%,7.10%,15.00%,,,,,,
　地方政府,－,－,4.58%,8.00%,－,－,,,,,,
　　臺北市,－,－,1.28%,3.60%,0.00%,30.00%,,,,,,
　　高雄市,－,－,1.10%,1.80%,0.00%,30.00%,,,,,,
　　縣　市 (表2-1),34.27%,45.00%,2.15%,2.00%,19.65%,30.00%,,,,,,
　　鄉鎮市 (表2-2),3.50%,25.00%,0.05%,0.60%,0.35%,30.00%,,,,,,
說明：1.依據公共債務法規定：,,,,,,,,,,,,
　　　　(1)1年以上非自償債務，係指中央及地方政府在普通基金及非營業基金預算內，所舉借1年以上非自償債務。,,,,,,,,,,,,
　　　　(2)未滿1年債務，係指中央及地方政府為普通基金調度所舉借未滿1年債務。,,,,,,,,,,,,
      2.行政院主計總處配合聯合國國民經濟會計制度之修訂，將原國民生產毛額(GNP)改稱為國民所得毛額(GNI)。,,,,,,,,,,,,
"        該總處105年10月28日公布之前3年度(94年度至96年度)名目國民所得毛額(GNI)平均數為13,025,150百萬元。",,,,,,,,,,,,
各級政府公共債務概況總表,,,,,,,,,,,,
98年度,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元；％,,,,,
　　　  　   　項目,,,,,,,,,未滿一年債務,,,
" 政府別""""",公共債務法規範之債務,,,,,其他債務,,,(非基),,,
,一年以上債務,,未滿一年債務,,債務合計,自償性債務,非營業基金,,,,,
"未滿一年債務""""",,,,,,,,,"245,847_ ",,,
,金額,比率,金額,比率,,,,,"239,468_ ",,,
,-1,-2,-3,-4,(5)=(1)+(3),-6,-7,,"6,379_ ",,,
合 　   計,"4,743,366_ ",35.44%,"397,548_ ",－,"5,140,914_ ","440,272_ ","245,847_ ",,"4,293_ ",,,
中央政府,"4,126,794_ ",30.83%,"240,000_ ",11.43%,"4,366,794_ ","340,017_ ","239,468_ ",,"1,072_ ",,,
地方政府,"616,572_ ",4.61%,"157,548_ ",－,"774,120_ ","100,255_ ","6,379_ ",,"3,221_ ",,,
直轄市,"312,883_ ",－,"1,931_ ",－,"314,814_ ","17,516_ ","4,293_ ",,"2,030_ ",,,
臺北市,"160,436_ ",1.20%,0_ ,0.00%,"160,436_ ","6,189_ ","1,072_ ",,0_ ,,,
高雄市,"152,447_ ",1.14%,"1,931_ ",2.28%,"154,378_ ","11,327_ ","3,221_ ",,0_ ,,,
縣市,"297,503_ ",2.22%,"155,417_ ",21.69%,"452,920_ ","80,815_ ","2,030_ ",,0_ ,,,
臺北縣,"44,447_ ",34.76%,"25,873_ ",24.25%,"70,320_ ",402_ ,0_ ,,0_ ,,,
桃園縣,"22,688_ ",39.13%,"10,613_ ",20.26%,"33,301_ ","5,849_ ",0_ ,,0_ ,,,
宜蘭縣,"13,005_ ",38.60%,"8,287_ ",27.37%,"21,292_ ","2,474_ ",0_ ,,0_ ,,,
新竹縣,"13,982_ ",40.58%,"5,025_ ",17.94%,"19,007_ ","15,785_ ",0_ ,,0_ ,,,
苗栗縣,"17,216_ ",40.33%,"9,094_ ",29.02%,"26,310_ ","3,794_ ",0_ ,,0_ ,,,
臺中縣,"26,977_ ",41.72%,"10,557_ ",24.28%,"37,534_ ","14,135_ ",0_ ,,0_ ,,,
彰化縣,"9,357_ ",19.92%,"10,284_ ",24.48%,"19,641_ ","1,399_ ",0_ ,,0_ ,,,
南投縣,"11,527_ ",32.05%,"4,795_ ",16.85%,"16,322_ ",117_ ,0_ ,,687_ ,,,
雲林縣,"15,715_ ",35.88%,"7,661_ ",24.37%,"23,376_ ","6,104_ ",0_ ,,0_ ,,,
嘉義縣,"12,884_ ",37.85%,"6,315_ ",24.68%,"19,199_ ","6,873_ ",0_ ,,0_ ,,,
臺南縣,"20,313_ ",43.66%,"10,160_ ",27.48%,"30,473_ ","10,034_ ",687_ ,,425_ ,,,
高雄縣,"16,198_ ",31.30%,"6,800_ ",15.51%,"22,998_ ",0_ ,0_ ,,0_ ,,,
屏東縣,"15,047_ ",33.96%,"6,535_ ",20.29%,"21,582_ ",0_ ,0_ ,,0_ ,,,
臺東縣,"4,156_ ",24.95%,"2,795_ ",19.11%,"6,951_ ",200_ ,425_ ,,0_ ,,,
花蓮縣,"7,607_ ",37.34%,"4,869_ ",27.23%,"12,476_ ",0_ ,0_ ,,0_ ,,,
澎湖縣,"1,070_ ",10.42%,567_ ,6.60%,"1,637_ ",0_ ,0_ ,,0_ ,,,
基隆市,"8,555_ ",38.54%,"3,500_ ",15.94%,"12,055_ ",151_ ,0_ ,,0_ ,,,
新竹市,"9,359_ ",42.50%,"4,549_ ",24.36%,"13,908_ ","2,355_ ",0_ ,,918_ ,,,
臺中市,"8,798_ ",16.80%,"6,970_ ",16.47%,"15,768_ ","4,537_ ",0_ ,,0_ ,,,
嘉義市,"3,104_ ",17.02%,"1,741_ ",12.94%,"4,845_ ","2,049_ ",0_ ,,0_ ,,,
臺南市,"15,498_ ",41.19%,"8,427_ ",28.65%,"23,925_ ","4,507_ ",918_ ,,56_ ,,,
金門縣,0_ ,0.00%,0_ ,0.00%,0_ ,50_ ,0_ ,,,,,
連江縣,0_ ,0.00%,0_ ,0.00%,0_ ,0_ ,0_ ,,,,,
鄉鎮市,"6,186_ ",0.05%,200_ ,0.12%,"6,386_ ","1,924_ ",56_ ,,,,,
註1：中央政府、直轄市及縣(市)政府為審定決算數，鄉(鎮、市)公所為決算數。,,,,,,,,,,,,
註2：依據103年1月1日新公共債務法施行前之該法第4條規定，各級政府債限如下：,,,,,,,,,,,,
 (1) 一年以上非自償債務：中央及各地方政府所舉借之一年以上非自償債務未償餘額不得超過前三年度名目GNP(國民生產毛額)平均數之48%【中央40%，地方8%－其中臺北市3.6%、高雄市1.8%,,,,,,,,,,,,
　　　　、縣(市)2%、鄉(鎮、市)0.6%】。個別縣(市)及鄉(鎮、市)舉借一年以上非自償債務未償餘額占各該政府總預算及特別預算歲出總額之比率，各不得超過45%及25%。,,,,,,,,,,,,
 (2) 未滿一年債務：中央及各地方政府未滿一年債務未償餘額占總預算及特別預算歲出總額之比率，分別不得超過15%及30%。,,,,,,,,,,,,
註3：「*」表示債務超限。,,,,,,,,,,,,
表1-1.  縣(市)政府債務負擔表－債務餘額,,,,,,,,,,,,
截至98年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
政 府 別,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
,自償,非自償,,自償,非自償,,,,,,,
合　計,"8,310_ ","297,503_ ","155,417_ ","72,505_ ",0_ ,"2,030_ ","297,503_ ","6,456_ ",,,,
臺北縣,402_ ,"44,447_ ","25,873_ ",0_ ,0_ ,0_ ,"44,447_ ",996_ ,,,,
桃園縣,0_ ,"22,688_ ","10,613_ ","5,849_ ",0_ ,0_ ,"22,688_ ",471_ ,,,,
宜蘭縣,"1,035_ ","13,005_ ","8,287_ ","1,439_ ",0_ ,0_ ,"13,005_ ",306_ ,,,,
新竹縣,0_ ,"13,982_ ","5,025_ ","15,785_ ",0_ ,0_ ,"13,982_ ",657_ ,,,,
苗栗縣,0_ ,"17,216_ ","9,094_ ","3,794_ ",0_ ,0_ ,"17,216_ ",466_ ,,,,
臺中縣,0_ ,"26,977_ ","10,557_ ","14,135_ ",0_ ,0_ ,"26,977_ ",735_ ,,,,
彰化縣,0_ ,"9,357_ ","10,284_ ","1,399_ ",0_ ,0_ ,"9,357_ ",157_ ,,,,
南投縣,0_ ,"11,527_ ","4,795_ ",117_ ,0_ ,0_ ,"11,527_ ",149_ ,,,,
雲林縣,0_ ,"15,715_ ","7,661_ ","6,104_ ",0_ ,0_ ,"15,715_ ",422_ ,,,,
嘉義縣,"6,873_ ","12,884_ ","6,315_ ",0_ ,0_ ,0_ ,"12,884_ ",212_ ,,,,
臺南縣,0_ ,"20,313_ ","10,160_ ","10,034_ ",0_ ,687_ ,"20,313_ ",540_ ,,,,
高雄縣,0_ ,"16,198_ ","6,800_ ",0_ ,0_ ,0_ ,"16,198_ ",337_ ,,,,
屏東縣,0_ ,"15,047_ ","6,535_ ",0_ ,0_ ,0_ ,"15,047_ ",205_ ,,,,
臺東縣,0_ ,"4,156_ ","2,795_ ",200_ ,0_ ,425_ ,"4,156_ ",51_ ,,,,
花蓮縣,0_ ,"7,607_ ","4,869_ ",0_ ,0_ ,0_ ,"7,607_ ",110_ ,,,,
澎湖縣,0_ ,"1,070_ ",567_ ,0_ ,0_ ,0_ ,"1,070_ ",9_ ,,,,
基隆市,0_ ,"8,555_ ","3,500_ ",151_ ,0_ ,0_ ,"8,555_ ",111_ ,,,,
新竹市,0_ ,"9,359_ ","4,549_ ","2,355_ ",0_ ,0_ ,"9,359_ ",188_ ,,,,
臺中市,0_ ,"8,798_ ","6,970_ ","4,537_ ",0_ ,0_ ,"8,798_ ",49_ ,,,,
嘉義市,0_ ,"3,104_ ","1,741_ ","2,049_ ",0_ ,0_ ,"3,104_ ",38_ ,,,,
臺南市,0_ ,"15,498_ ","8,427_ ","4,507_ ",0_ ,918_ ,"15,498_ ",247_ ,,,,
金門縣,0_ ,0_ ,0_ ,50_ ,0_ ,0_ ,0_ ,0_ ,,,,
連江縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
表1-2.  鄉(鎮、市)公所債務負擔表－債務餘額,,,,,,,,,,,,
截至98年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
政 府 別,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
,自償,非自償,,自償,非自償,,,,,,,
合　計,81_ ,"5,888_ ",200_ ,"1,843_ ",298_ ,56_ ,"6,186_ ",135_ ,,,,
臺北縣,0_ ,851_ ,0_ ,6_ ,0_ ,0_ ,851_ ,7_ ,,,,
桃園縣,0_ ,325_ ,0_ ,0_ ,0_ ,0_ ,325_ ,3_ ,,,,
宜蘭縣,0_ ,24_ ,0_ ,96_ ,0_ ,0_ ,24_ ,2_ ,,,,
新竹縣,0_ ,30_ ,0_ ,5_ ,0_ ,0_ ,30_ ,0_ ,,,,
苗栗縣,0_ ,90_ ,0_ ,62_ ,0_ ,0_ ,90_ ,1_ ,,,,
臺中縣,0_ ,646_ ,0_ ,0_ ,0_ ,0_ ,646_ ,7_ ,,,,
彰化縣,0_ ,273_ ,0_ ,284_ ,35_ ,0_ ,308_ ,10_ ,,,,
南投縣,48_ ,451_ ,0_ ,191_ ,0_ ,0_ ,451_ ,10_ ,,,,
雲林縣,0_ ,133_ ,0_ ,203_ ,0_ ,4_ ,133_ ,5_ ,,,,
嘉義縣,0_ ,900_ ,0_ ,288_ ,0_ ,0_ ,900_ ,13_ ,,,,
臺南縣,0_ ,"1,593_ ",0_ ,474_ ,0_ ,52_ ,"1,593_ ",56_ ,,,,
高雄縣,0_ ,400_ ,0_ ,226_ ,0_ ,0_ ,400_ ,10_ ,,,,
屏東縣,33_ ,115_ ,41_ ,0_ ,263_ ,0_ ,378_ ,7_ ,,,,
臺東縣,0_ ,57_ ,0_ ,8_ ,0_ ,0_ ,57_ ,1_ ,,,,
花蓮縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
澎湖縣,0_ ,0_ ,159_ ,0_ ,0_ ,0_ ,0_ ,3_ ,,,,
金門縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
連江縣,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,0_ ,,,,
表1.  各級政府債務負擔表－債務餘額,,,,,,,,,,,,
截至98年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
　政 府 別,自償,非自償,,自償,非自償,,,,,,,
　合　　計,"9,991_ ","4,727,001_ ","397,548_ ","430,281_ ","16,365_ ","245,847_ ","4,743,366_ ","141,640_ ",,,,
　中央政府,0_ ,"4,126,794_ ","240,000_ ","340,017_ ",0_ ,"239,468_ ","4,126,794_ ","129,129_ ",,,,
　地方政府,"9,991_ ","600,207_ ","157,548_ ","90,264_ ","16,365_ ","6,379_ ","616,572_ ","12,511_ ",,,,
　　臺北市,"1,600_ ","160,436_ ",0_ ,"4,589_ ",0_ ,"1,072_ ","160,436_ ","4,977_ ",,,,
　　高雄市,0_ ,"136,380_ ","1,931_ ","11,327_ ","16,067_ ","3,221_ ","152,447_ ",943_ ,,,,
　　縣　市 (表1-1),"8,310_ ","297,503_ ","155,417_ ","72,505_ ",0_ ,"2,030_ ","297,503_ ","6,456_ ",,,,
　　鄉鎮市 (表1-2),81_ ,"5,888_ ",200_ ,"1,843_ ",298_ ,56_ ,"6,186_ ",135_ ,,,,
說明：,,,,,,,,,,,,
　　1.中央政府、直轄市及縣(市)政府為審定決算數，鄉(鎮、市)公所為決算數。,,,,,,,,,,,,
　　2.本表為各級政府為應公共事務支出所舉借之債務，包括公債、國庫券、國內外借款。普通基金包括總預算及特別預算。,,,,,,,,,,,,
"　　3.1年以上自償性債務總計440,272百萬元，係有特定財源用以償債，依公共債務法規定不計入債限。",,,,,,,,,,,,
"　　4.未滿1年之債務總計643,395百萬元，係為調節庫款收支所舉借之債務，其中普通基金397,548百萬元，受公共債務法債限管制。",,,,,,,,,,,,
　　5.因擔保、保證或契約可能造成未來會計年度支出：,,,,,,,,,,,,
"　　　(1)中央政府：中央政府：普通基金（交通部）325,880百萬元；非營業基金3,646百萬元。",,,,,,,,,,,,
"　　　(2)直轄市及縣(市)政府：共計48,634百萬元，分別為高雄市30,494百萬元、臺北縣17,080百萬元、桃園縣596百萬元、臺中縣102百萬元、",,,,,,,,,,,,
                 臺中市103百萬元、彰化縣8百萬元、嘉義縣27百萬元、高雄縣22百萬元、屏東縣121百萬元及連江縣81百萬元。,,,,,,,,,,,,
表2-1.  縣(市)政府債務負擔表－債務比率,,,,,,,,,,,,
截至98年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,　　　　　　　　　單位：％　,,,,,,,,
政府別,   1年以上非自償債務餘額,,未滿1年債務餘額,,,,,,,,,
,占歲出比率,法定比率,占歲出比率,法定比率,,,,,,,,
合　計,33.72%,45.00%,21.69%,30.00%,,,,,,,,
臺北縣,34.76%,45.00%,24.25%,30.00%,,,,,,,,
桃園縣,39.13%,45.00%,20.26%,30.00%,,,,,,,,
宜蘭縣,38.60%,45.00%,27.37%,30.00%,,,,,,,,
新竹縣,40.58%,45.00%,17.94%,30.00%,,,,,,,,
苗栗縣,40.33%,45.00%,29.02%,30.00%,,,,,,,,
臺中縣,41.72%,45.00%,24.28%,30.00%,,,,,,,,
彰化縣,19.92%,45.00%,24.48%,30.00%,,,,,,,,
南投縣,32.05%,45.00%,16.85%,30.00%,,,,,,,,
雲林縣,35.88%,45.00%,24.37%,30.00%,,,,,,,,
嘉義縣,37.85%,45.00%,24.68%,30.00%,,,,,,,,
臺南縣,43.66%,45.00%,27.48%,30.00%,,,,,,,,
高雄縣,31.30%,45.00%,15.51%,30.00%,,,,,,,,
屏東縣,33.96%,45.00%,20.29%,30.00%,,,,,,,,
臺東縣,24.95%,45.00%,19.11%,30.00%,,,,,,,,
花蓮縣,37.34%,45.00%,27.23%,30.00%,,,,,,,,
澎湖縣,10.42%,45.00%,6.60%,30.00%,,,,,,,,
基隆市,38.54%,45.00%,15.94%,30.00%,,,,,,,,
新竹市,42.50%,45.00%,24.36%,30.00%,,,,,,,,
臺中市,16.80%,45.00%,16.47%,30.00%,,,,,,,,
嘉義市,17.02%,45.00%,12.94%,30.00%,,,,,,,,
臺南市,41.19%,45.00%,28.65%,30.00%,,,,,,,,
金門縣,0.00%,45.00%,0.00%,30.00%,,,,,,,,
連江縣,0.00%,45.00%,0.00%,30.00%,,,,,,,,
 ,,,,,,,,,,,,
表2-2.  鄉(鎮、市)公所債務負擔表－債務比率,,,,,,,,,,,,
截至98年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,　　　　　　　　　單位：％　　,,,,,,,,
政府別,   1年以上非自償債務餘額,,未滿1年債務餘額,,,,,,,,,
,占歲出比率,法定比率,占歲出比率,法定比率,,,,,,,,
合　計,2.77%,25.00%,0.12%,30.00%,,,,,,,,
臺北縣,2.34%,25.00%,0.00%,30.00%,,,,,,,,
桃園縣,1.39%,25.00%,0.00%,30.00%,,,,,,,,
宜蘭縣,0.38%,25.00%,0.00%,30.00%,,,,,,,,
新竹縣,0.49%,25.00%,0.00%,30.00%,,,,,,,,
苗栗縣,1.26%,25.00%,0.00%,30.00%,,,,,,,,
臺中縣,3.19%,25.00%,0.00%,30.00%,,,,,,,,
彰化縣,2.64%,25.00%,0.00%,30.00%,,,,,,,,
南投縣,4.61%,25.00%,0.00%,30.00%,,,,,,,,
雲林縣,1.33%,25.00%,0.00%,30.00%,,,,,,,,
嘉義縣,11.05%,25.00%,0.00%,30.00%,,,,,,,,
臺南縣,13.53%,25.00%,0.00%,30.00%,,,,,,,,
高雄縣,2.83%,25.00%,0.00%,30.00%,,,,,,,,
屏東縣,1.10%,25.00%,0.46%,30.00%,,,,,,,,
臺東縣,1.42%,25.00%,0.00%,30.00%,,,,,,,,
花蓮縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
澎湖縣,0.00%,25.00%,10.35%,30.00%,,,,,,,,
金門縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
連江縣,0.00%,25.00%,0.00%,30.00%,,,,,,,,
 ,,,,,,,,,,,,
表2.  各級政府債務負擔表－債務比率,,,,,,,,,,,,
截至98年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,單位：％　　,,,,,,
,   1年以上非自償債務餘額,,,,未滿1年債務餘額,,,,,,,
  政 府 別,占歲出比率,法定比率,占前3年度名目國民,,,,,,,,,
"生產毛額平均數比率""""",法定比率,占歲出比率,法定比率,,,,,,,,,
　合　　計,－,－,35.44%,48.00%,－,－,,,,,,
　中央政府,－,－,30.83%,40.00%,11.43%,15.00%,,,,,,
　地方政府,－,－,4.61%,8.00%,－,－,,,,,,
　　臺北市,－,－,1.20%,3.60%,0.00%,30.00%,,,,,,
　　高雄市,－,－,1.14%,1.80%,2.28%,30.00%,,,,,,
　　縣　市 (表2-1),33.72%,45.00%,2.22%,2.00%,21.69%,30.00%,,,,,,
　　鄉鎮市 (表2-2),2.77%,25.00%,0.05%,0.60%,0.12%,30.00%,,,,,,
說明：1.依據公共債務法規定：,,,,,,,,,,,,
　　　　(1)1年以上非自償債務，係指中央及地方政府在普通基金及非營業基金預算內，所舉借1年以上非自償債務。,,,,,,,,,,,,
　　　　(2)未滿1年債務，係指中央及地方政府為普通基金調度所舉借未滿1年債務。,,,,,,,,,,,,
      2.行政院主計總處配合聯合國國民經濟會計制度之修訂，將原國民生產毛額(GNP)改稱為國民所得毛額(GNI)。,,,,,,,,,,,,
"　　　  該總處105年10月28日公布之前3年度(95年度至97年度)名目國民所得毛額(GNI)平均數為13,385,975百萬元。",,,,,,,,,,,,
各級政府公共債務概況總表,,,,,,,,,,,,
99年度,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元；％,,,,,
　　　  　   　項目,,,,,,,,,,,,
" 政府別""""",公共債務法規範之債務,,,,,其他債務,,,,,,
,一年以上債務,,未滿一年債務,,債務合計,自償性債務,非營業基金,,,,,
"未滿一年債務""""",,,,,,,,未滿一年債務,,,,
,金額,比率,金額,比率,,,,(非基),,,,
,-1,-2,-3,-4,(5)=(1)+(3),-6,-7,,,,,
合 　   計,"5,187,377_ ",38.35%,"405,487_ ",－,"5,592,864_ ","413,262_ ","398,701_ ","398,701_ ",,,,
中央政府,"4,536,990_ ",33.54%,"240,000_ ",12.12%,"4,776,990_ ","322,178_ ","394,371_ ","394,371_ ",,,,
地方政府,"650,387_ ",4.81%,"165,487_ ",－,"815,874_ ","91,084_ ","4,330_ ","4,330_ ",,,,
直轄市,"315,401_ ",－,"2,015_ ",－,"317,416_ ","14,812_ ","3,310_ ","3,310_ ",,,,
臺北市,"153,664_ ",1.14%,0_ ,0.00%,"153,664_ ","4,916_ ",176_ ,176_ ,,,,
高雄市,"161,737_ ",1.20%,"2,015_ ",2.65%,"163,752_ ","9,896_ ","3,134_ ","3,134_ ",,,,
縣市,"330,624_ ",2.44%,"163,260_ ",22.24%,"493,884_ ","74,156_ ","1,016_ ","1,016_ ",,,,
臺北縣,"55,543_ ",44.88%,"29,082_ ",27.33%,"84,625_ ",0_ ,0_ ,0_ ,,,,
桃園縣,"22,338_ ",39.13%,"10,023_ ",18.96%,"32,361_ ","6,412_ ",0_ ,0_ ,,,,
宜蘭縣,"14,689_ ",39.95%,"10,010_ ",29.89%,"24,699_ ","2,563_ ",0_ ,0_ ,,,,
新竹縣,"13,904_ ",40.78%,"6,818_ ",24.23%,"20,722_ ","12,750_ ",0_ ,0_ ,,,,
